index,valid,starts_with_basic_game,all_sections_present,sprite_similarity,interaction_similarity,termination_similarity,final_score,generation_seconds,prompt_tokens,generated_tokens,validation_errors
0,True,True,False,0.06382978723404255,0.0,0.0,0.015957446808510637,62.516768499990576,958,400,
1,False,True,True,0.42857142857142855,0.16666666666666666,0.5,0.31547619047619047,58.371710199993686,510,377,Parsing error: Unknown VGDL class: RandomBombs
2,False,True,False,0.75,0.3157894736842105,0.0,0.34539473684210525,61.61696440000378,586,400,Parsing error: Unknown VGDL class: Door
3,False,True,False,0.3157894736842105,0.125,0.0,0.14144736842105263,60.896586300004856,583,400,Interaction uses undefined sprite: fish
4,False,True,True,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.2222222222222222,45.90680350000912,401,299,Parsing error: Unknown VGDL class: Door
5,False,True,True,1.0,1.0,1.0,1.0,41.248685500002466,369,267,Parsing error: Unknown VGDL class: Door
6,True,True,False,0.48,0.0,0.0,0.12,61.11274329999287,686,400,
7,False,True,True,0.14285714285714285,0.058823529411764705,0.0,0.06512605042016806,61.73631419999583,534,400,Parsing error: Unknown VGDL class: PhysicsAvatar
8,True,True,False,0.1282051282051282,0.05,0.0,0.05705128205128205,61.55860869999742,727,400,
9,False,True,True,0.3333333333333333,0.0,0.0,0.08333333333333333,45.18676160000905,383,293,Parsing error: Unknown VGDL class: killBoth
10,False,True,False,0.5,0.25,0.0,0.25,61.13105749999522,628,400,Parsing error: Unknown VGDL class: undoAllExceptEnemies
11,False,True,False,0.45,0.0,0.0,0.1125,61.23039229999995,664,400,Parsing error: Unknown VGDL class: DoorOpen
12,True,True,False,0.2,0.0,0.0,0.05,61.45578599999135,760,400,
13,False,True,False,0.25,0.0,0.0,0.0625,61.09554389999539,650,400,Parsing error: Unknown VGDL class: Rotator
14,False,True,True,0.23076923076923078,0.14285714285714285,0.0,0.1291208791208791,37.726287800003774,362,241,Parsing error: Unknown VGDL class: MissileAvatar
15,False,True,False,0.25,0.05555555555555555,0.0,0.09027777777777778,61.066941800003406,863,400,Parsing error: Unknown VGDL class: Door
16,False,True,False,0.09090909090909091,0.0,0.0,0.022727272727272728,27.81605330000457,329,178,Parsing error: Unknown VGDL class: spawn
17,False,True,False,0.1891891891891892,0.0,0.0,0.0472972972972973,61.117509400006384,718,400,Parsing error: Unknown VGDL class: Door
18,False,True,True,0.6666666666666666,0.38461538461538464,1.0,0.608974358974359,57.206170999997994,506,376,Parsing error: Unknown VGDL class: Door
19,False,True,False,0.36,0.0,0.0,0.09,60.87489610000921,644,400,Parsing error: Unknown VGDL class: Door
20,True,True,False,0.14545454545454545,0.0,0.0,0.03636363636363636,60.86122669999895,913,400,
