index,valid,starts_with_basic_game,all_sections_present,sprite_similarity,interaction_similarity,termination_similarity,final_score,generation_seconds,prompt_tokens,generated_tokens,validation_errors
0,False,True,False,0.0673076923076923,0.0136986301369863,0.0,0.023676238145416226,182.993424100001,958,1024,Parsing error: Unknown VGDL class: spawn
1,False,True,True,0.42857142857142855,0.16666666666666666,0.5,0.31547619047619047,67.86014220000288,510,377,Parsing error: Unknown VGDL class: RandomBombs
2,False,True,True,0.75,0.3,0.3333333333333333,0.42083333333333334,89.00570049999806,586,461,Parsing error: Unknown VGDL class: Door
3,False,True,True,0.3157894736842105,0.06666666666666667,0.3333333333333333,0.1956140350877193,107.22032599999875,583,520,Parsing error: Unknown VGDL class: createIfHasMoreResources
4,False,True,True,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.2222222222222222,58.541967200002546,401,299,Parsing error: Unknown VGDL class: Door
5,False,True,True,1.0,1.0,1.0,1.0,53.30046179999772,369,267,Parsing error: Unknown VGDL class: Door
6,False,True,True,0.48,0.25,1.0,0.495,131.94618300000002,686,672,Parsing error: Unknown VGDL class: consumeResource
7,False,True,True,0.14285714285714285,0.058823529411764705,0.0,0.06512605042016806,84.38268009999956,534,424,Parsing error: Unknown VGDL class: PhysicsAvatar
8,False,True,True,0.1282051282051282,0.038461538461538464,0.0,0.05128205128205128,109.70833039999707,727,557,Parsing error: Unknown VGDL class: transformToOtherIfShooting
9,False,True,True,0.3333333333333333,0.0,0.0,0.08333333333333333,57.497737400000915,383,293,Parsing error: Unknown VGDL class: killBoth
10,False,True,False,0.5,0.25,0.0,0.25,79.5657738000009,628,410,Parsing error: Unknown VGDL class: undoAllExceptEnemies
11,False,True,True,0.45,0.23809523809523808,1.0,0.48154761904761906,110.73063629999888,664,569,Parsing error: Unknown VGDL class: DoorOpen
12,False,True,True,0.2,0.21428571428571427,0.2,0.20714285714285713,193.92553469999984,760,981,Parsing error: Unknown VGDL class: subtractHealthPoints
13,False,True,True,0.25,0.1875,0.0,0.15625,145.78734059999988,650,690,Parsing error: Unknown VGDL class: Rotator
14,False,True,True,0.23076923076923078,0.14285714285714285,0.0,0.1291208791208791,53.2430975999996,362,241,Parsing error: Unknown VGDL class: MissileAvatar
15,False,True,True,0.25,0.0425531914893617,0.14285714285714285,0.11949088145896657,156.69391879999966,863,752,Parsing error: Unknown VGDL class: Door
16,False,True,False,0.09090909090909091,0.0,0.0,0.022727272727272728,38.90990409999722,329,178,Parsing error: Unknown VGDL class: spawn
17,False,True,True,0.18421052631578946,0.125,1.0,0.35855263157894735,144.27931119999994,718,725,Parsing error: Unknown VGDL class: Door
18,False,True,True,0.6666666666666666,0.38461538461538464,1.0,0.608974358974359,75.1922811000004,506,376,Parsing error: Unknown VGDL class: Door
19,False,True,True,0.36,0.1111111111111111,0.3333333333333333,0.22888888888888886,117.21529670000018,644,582,Parsing error: Unknown VGDL class: Door
20,False,True,True,0.16071428571428573,0.019230769230769232,0.0,0.04979395604395605,194.16711280000163,913,945,Parsing error: Unknown VGDL class: killIfOtherHasMoreHealthPoints
