index,valid,starts_with_basic_game,all_sections_present,sprite_similarity,interaction_similarity,termination_similarity,final_score,generation_seconds,prompt_tokens,generated_tokens,validation_errors
0,True,True,False,0.0,0.0,0.0,0.0,71.55398719999357,957,400,
1,True,True,False,0.0,0.0,0.0,0.0,3.8292362000065623,509,400,
2,True,True,False,0.0,0.0,0.0,0.0,19.39324580000539,585,400,
3,True,True,False,0.0,0.0,0.0,0.0,3.788184099990758,582,400,
4,True,True,False,0.0,0.0,0.0,0.0,3.6338357999920845,400,400,
5,True,True,False,0.0,0.0,0.0,0.0,3.63466779999726,368,400,
6,True,True,False,0.0,0.0,0.0,0.0,3.7005470000003697,685,400,
7,True,True,False,0.0,0.0,0.0,0.0,3.662147399998503,533,400,
8,True,True,False,0.0,0.0,0.0,0.0,3.7333485999988625,726,400,
9,True,True,False,0.0,0.0,0.0,0.0,3.651879099998041,382,400,
10,True,True,False,0.0,0.0,0.0,0.0,3.7247128000017256,627,400,
11,True,True,False,0.0,0.0,0.0,0.0,3.7236727999988943,663,400,
12,True,True,False,0.0,0.0,0.0,0.0,3.711932499994873,759,400,
13,True,True,False,0.0,0.0,0.0,0.0,3.699928500005626,649,400,
14,True,True,False,0.0,0.0,0.0,0.0,3.6421203000063542,361,400,
15,True,True,False,0.0,0.0,0.0,0.0,3.73854069999652,862,400,
16,True,True,False,0.0,0.0,0.0,0.0,3.6499639000103343,328,400,
17,True,True,False,0.0,0.0,0.0,0.0,3.711277300011716,717,400,
18,True,True,False,0.0,0.0,0.0,0.0,3.6701103999948828,505,400,
19,True,True,False,0.0,0.0,0.0,0.0,3.6960753000021214,643,400,
20,True,True,False,0.0,0.0,0.0,0.0,3.7687188999989303,912,400,
