index,valid,starts_with_basic_game,all_sections_present,sprite_similarity,interaction_similarity,termination_similarity,final_score,generation_seconds,prompt_tokens,generated_tokens,validation_errors
0,True,True,False,0.0,0.0,0.0,0.0,9.323660899997776,957,1024,
1,True,True,False,0.0,0.0,0.0,0.0,7.127566399998614,509,807,
2,True,True,False,0.0,0.0,0.0,0.0,23.971113700001297,585,907,
3,True,True,False,0.0,0.0,0.0,0.0,6.735305800000788,582,772,
4,True,True,False,0.0,0.0,0.0,0.0,4.866478200001438,400,549,
5,True,True,False,0.0,0.0,0.0,0.0,5.0530002000014065,368,570,
6,True,True,False,0.0,0.0,0.0,0.0,8.482867499998974,685,964,
7,True,True,False,0.0,0.0,0.0,0.0,5.340152600001602,533,599,
8,True,True,False,0.0,0.0,0.0,0.0,5.159738900001685,726,583,
9,True,True,False,0.0,0.0,0.0,0.0,4.164120900000853,382,440,
10,True,True,False,0.0,0.0,0.0,0.0,8.12944349999816,627,851,
11,True,True,False,0.0,0.0,0.0,0.0,8.48140930000227,663,921,
12,True,True,False,0.0,0.0,0.0,0.0,7.380616599999485,759,802,
13,True,True,False,0.0,0.0,0.0,0.0,9.377910299997893,649,1024,
14,True,True,False,0.0,0.0,0.0,0.0,9.371675000002142,361,1024,
15,True,True,False,0.0,0.0,0.0,0.0,9.325547200001893,862,1024,
16,True,True,False,0.0,0.0,0.0,0.0,3.9751929999983986,328,435,
17,True,True,False,0.0,0.0,0.0,0.0,9.508115399999951,717,1024,
18,True,True,False,0.0,0.0,0.0,0.0,5.581558999998379,505,600,
19,True,True,False,0.0,0.0,0.0,0.0,6.781995299999835,643,739,
20,True,True,False,0.0,0.0,0.0,0.0,6.030244999998104,912,643,
