index,valid,starts_with_basic_game,all_sections_present,sprite_similarity,interaction_similarity,termination_similarity,final_score,generation_seconds,prompt_tokens,generated_tokens,validation_errors
0,False,False,False,0.01020408163265306,0.0,0.0,0.002551020408163265,29.07771959999809,996,400,Parsing error: 'NoneType' object is not callable
1,False,False,False,0.014492753623188406,0.0,0.0,0.0036231884057971015,29.575106300006155,532,400,Parsing error: children indentations must match
2,False,False,False,0.4375,0.0,0.0,0.109375,29.13895120000234,599,400,Parsing error: 'NoneType' object is not callable
3,False,False,False,0.2608695652173913,0.0,0.0,0.06521739130434782,28.951155100003234,596,400,Parsing error: 'NoneType' object is not callable
4,False,False,False,0.09090909090909091,0.0,0.0,0.022727272727272728,28.74974210000073,407,400,Parsing error: 'NoneType' object is not callable
5,False,False,True,1.0,1.0,0.0,0.75,18.360286000010092,376,258,Parsing error: 'NoneType' object is not callable
6,False,False,False,0.05714285714285714,0.058823529411764705,0.0,0.043697478991596636,28.01112660000217,675,400,Parsing error: 'NoneType' object is not callable
7,False,False,False,0.19230769230769232,0.0,0.0,0.04807692307692308,35.809210899999016,540,400,Parsing error: children indentations must match
8,False,False,False,0.14285714285714285,0.0,0.0,0.03571428571428571,28.898646899993764,739,400,Parsing error: 'NoneType' object is not callable
9,False,False,True,0.3125,0.2,0.0,0.178125,25.231624899999588,394,350,Parsing error: 'NoneType' object is not callable
10,False,False,False,0.25,0.0,0.0,0.0625,29.169456800009357,642,400,Parsing error: 'NoneType' object is not callable
11,False,False,False,0.14814814814814814,0.0,0.0,0.037037037037037035,29.391567300001043,670,400,Parsing error: 'NoneType' object is not callable
12,False,False,False,0.2571428571428571,0.1,0.0,0.11428571428571428,29.28931969999394,761,400,Parsing error: 'NoneType' object is not callable
13,False,False,False,0.21052631578947367,0.0,0.0,0.05263157894736842,28.931741600012174,680,400,Parsing error: 'NoneType' object is not callable
14,False,False,True,0.21428571428571427,0.0,0.0,0.05357142857142857,22.30285819999699,367,316,Parsing error: 'NoneType' object is not callable
15,False,False,False,0.03571428571428571,0.0,0.0,0.008928571428571428,28.253710299992235,925,400,Parsing error: 'NoneType' object is not callable
16,False,False,True,0.1875,0.0,0.0,0.046875,22.972160899997107,339,328,Parsing error: 'NoneType' object is not callable
17,False,False,False,0.10204081632653061,0.0,0.0,0.025510204081632654,27.442063399998005,742,400,Parsing error: 'NoneType' object is not callable
18,False,False,True,0.2222222222222222,0.0,0.3333333333333333,0.1388888888888889,26.67799389999709,515,390,Parsing error: 'NoneType' object is not callable
19,False,False,False,0.30434782608695654,0.14285714285714285,0.0,0.14751552795031056,31.4504239000089,655,400,Parsing error: 'NoneType' object is not callable
20,False,False,False,0.09090909090909091,0.0,0.0,0.022727272727272728,25.92353820000426,908,400,Parsing error: children indentations must match
