index,valid,starts_with_basic_game,all_sections_present,sprite_similarity,interaction_similarity,termination_similarity,final_score,generation_seconds,prompt_tokens,generated_tokens,validation_errors
0,True,True,False,0.0,0.0,0.0,0.0,30.97654400000465,960,400,
1,True,True,False,0.0,0.0,0.0,0.0,25.82148889999371,521,363,
2,True,True,False,0.0,0.0,0.0,0.0,16.040529099991545,589,226,
3,True,True,False,0.0,0.0,0.0,0.0,28.03220169999986,589,400,
4,True,True,False,0.0,0.0,0.0,0.0,27.90194569999585,400,400,
5,True,True,False,0.0,0.0,0.0,0.0,27.928041499995743,369,400,
6,True,True,False,0.0,0.0,0.0,0.0,27.88829230000556,669,400,
7,True,True,False,0.0,0.0,0.0,0.0,27.865088000005926,533,400,
8,True,True,False,0.0,0.0,0.0,0.0,27.647790899995016,723,400,
9,True,True,False,0.0,0.0,0.0,0.0,22.971412099999725,379,333,
10,True,True,False,0.0,0.0,0.0,0.0,27.60299469999154,635,400,
11,True,True,False,0.0,0.0,0.0,0.0,27.584781600002316,661,400,
12,True,True,False,0.0,0.0,0.0,0.0,24.201060899998993,767,349,
13,True,True,False,0.0,0.0,0.0,0.0,27.619854000004125,656,400,
14,True,True,False,0.0,0.0,0.0,0.0,27.63595890000579,355,400,
15,True,True,False,0.0,0.0,0.0,0.0,27.659044100000756,922,400,
16,True,True,False,0.0,0.0,0.0,0.0,11.570200100002694,331,166,
17,True,True,False,0.0,0.0,0.0,0.0,27.668110899991007,718,400,
18,True,True,False,0.0,0.0,0.0,0.0,22.380112699989695,508,323,
19,True,True,False,0.0,0.0,0.0,0.0,17.628125400005956,637,254,
20,True,True,False,0.0,0.0,0.0,0.0,26.57052459999977,903,361,
